day,summary_id,source_type,conversation_id,message_id,category,format_type,confidence,tags,topics,summary_text,actions,notes,annotation,label,review_notes
2025-11-05,051e38e3b4973ac9bf939aec50ac811766d0819b5745ba1592d7c9a4d973d740,event,690bc79c-026c-8332-9ace-87f99ae213f7,bf611263-6d1e-4d55-9d1c-d43536fd35a5,Business,template,4,comunicación|estrategia|organización|política|recomendaciones,dinámica organizativa|actividades políticas|recomendaciones tácticas,"Análisis de la dinámica organizativa y recomendaciones tácticas para mejorar la efectividad de una agrupación política, basado en la lectura de tramos específicos de actividades. Se identifican fortalezas, riesgos y prácticas inmediatas para optimizar la operativa y la comunicación interna.","""redactar la plantilla post-acción, generar un checklist de roles, o seguir con el screening cronológico""",insight,,,
2025-11-05,057da599f16d905e36fda58bd68388bee29199628b7c43dfcae2503410b97f18,event,690b7f85-0b08-832c-b179-7aa7db54ebf5,2d89edef-6fb2-4500-ae58-cb98324bceae,Business,execution plan,5,Content Strategy|Data Analysis|LinkedIn|Networking|Python|Social Media,Networking|Content Creation|Data Analysis,"This message outlines a diagnostic approach to leveraging LinkedIn connections for strategic content publication aimed at generating measurable results, including specific actionable steps for data extraction, analysis, and tactical posting over 30 days.","""Export LinkedIn connections CSV and analytics for the last 6 posts, or choose between drafting 3 post templates or running an analysis on the CSV.""",actionable plan,,,
2025-11-05,0b305d2cee4060336d6a3f078160c1a92062fbc5477aa8fb35d1fbb34f3206e8,event,690bc79c-026c-8332-9ace-87f99ae213f7,db6e5c81-ae55-45ea-b2f8-9ebb0c452b1d,Data,template,4,CSV|Data Processing|Pandas|Python,Data|Automation,"This message details a Python script that creates a raw CSV file containing phone numbers and names from a provided list, ensuring data normalization and saving the output to a specified path.","""Implement the provided Python script to create a CSV file from the given list of phone numbers and names, and consider packaging this as a reusable template for similar tasks.""",code_snippet,,,
2025-11-05,0f8e80b936b7c9eddce98710c0f936a2146a343a93274697dcc858368f88a30a,event,690bc79c-026c-8332-9ace-87f99ae213f7,ff6bddb8-6b9d-4b21-a501-4581af7e159e,Business,table,5,communication|governance|mobilization|operations|responsibilities|roles,Organizational Management|Task Management,"This document outlines various aspects of governance, mobilization, communication, and operational tasks within an organization, detailing roles and responsibilities for effective execution.",[],overview,,,
2025-11-05,0fbcd8975840685e5d1880bcac919737453cec94fc4fa6590ece8f8501f776f3,event,690bc79c-026c-8332-9ace-87f99ae213f7,71e53524-7b6d-42b0-a66b-c26c1270de91,Business,template,4,acción colectiva|dinámicas de grupo|estrategia|organización|riesgos,gestión de grupos|intervenciones políticas|dinámicas sociales,"El mensaje detalla la planificación de acciones y roles dentro de un grupo en transición hacia la institucionalización, abordando dinámicas operativas, riesgos y sugerencias estratégicas para mejorar la efectividad del grupo.","""Prepare messages for Eze's responsibility on the scholarships table and the 72-hour template; designate a communications team with a spokesperson.""",planificación,,,
2025-11-05,1270a6e663318f5dd4e9ab489e64862e873f99870ad910510c74b760c1edfe8a,event,690bc79c-026c-8332-9ace-87f99ae213f7,0be1465e-852e-49a0-a4f3-95fcb0eea431,Data,report,4,data_retrieval|file_query|uploaded_files,file management|data processing,"This message contains a query for specific parts of files uploaded in the conversation, indicating a focus on retrieving data from 'part_025.txt' and 'part_021.txt'.","""process the specified files part_025.txt and part_021.txt for insights or data extraction.""",query,,,
2025-11-05,167ba85ff87bf40c8f1a92166d823fa5884d5c9586a54f0cb0d80a42bd0d1d30,event,690bc79c-026c-8332-9ace-87f99ae213f7,ea781727-c648-47c6-b868-2d9ea7b503ac,Business,template,5,carriles operativos|eficiencia|gestión de proyectos|organización|trabajo colaborativo,gestión|estrategia|operaciones,"Este documento presenta un mapa de trabajo estructurado en 12 carriles operativos, cada uno con objetivos claros, salidas mínimas y ritmos de operación, diseñado para mejorar la eficiencia y la organización en un entorno de trabajo colaborativo.","""Nombrar due-owners para 3 carriles críticos, publicar Estado_semana con 2 prioridades claras, empezar ritual post-action para la próxima salida.""",mapa de trabajo,,,
2025-11-05,18da6f30eb1ef89a10e0acb887af5b7160bd0e2bf11c852e16b195cb6e6cfdcc,event,690bc79c-026c-8332-9ace-87f99ae213f7,f4b72f02-4db1-4e4d-adc1-f75e7134affe,Data,report,4,QDF|data analysis|queries,data analysis|file management,"This message contains a set of queries targeting specific parts of a dataset with a QDF value of 5, indicating a focus on certain data characteristics.","""Analyze the uploaded files for insights and trends.""",query,,,
2025-11-05,218cb3b196f5ca900686a67c7c61f11108f995d3bb786b7aa928611a192d74b3,event,690bc79c-026c-8332-9ace-87f99ae213f7,5ecce5ee-e0e9-444a-aab0-9fc9e5fbdbd1,Business,CSV,5,análisis|coordinación|movilización|perfil|responsabilidades,gestión de equipos|análisis de roles|optimización de tareas,"Análisis detallado de roles, rasgos de personalidad, niveles de participación y recomendaciones tácticas para cada persona en un contexto de coordinación y movilización, con un enfoque en la optimización de responsabilidades y la mitigación de riesgos.","""Generate a CSV with columns: nombre, rol_observado, rasgos, nivel_participacion, riesgo, sugerencia_tactica, contacto_sugerido.""",análisis,,,
2025-11-05,2552875cc5ae87d61114be1f57631ce3e9f2a300c48de9b582643f2a3f0cf681,event,690bc79c-026c-8332-9ace-87f99ae213f7,6cb5ba78-cb94-4889-8670-f777155107da,Business,package,5,análisis|gestión|grupo político|militancia|universitario,política|activismo|organización,"Un análisis detallado sobre la identidad, prácticas, fortalezas, debilidades y recomendaciones para un grupo político universitario, destacando su enfoque pragmático y relacional en la militancia y la gestión institucional.","""Create a short package for the group including: 1) 'Who we are' text for the website, 2) Three rules and templates for chat, 3) Immediate assignment proposal (Eze: scholarships table; Spokesperson: X; Guards: calendar).""",insight,,,
2025-11-05,28cdba36beb6b74d06ca8a1250d32f24cb42b9b77f8cdf61f08a20eda802f2ef,event,690bc79c-026c-8332-9ace-87f99ae213f7,858da5c0-affe-4653-b78e-44a881229728,Data,csv,4,CSV|Contacts|Data Extraction|WhatsApp,Data|Automation,"This message provides a formatted CSV list of contacts extracted from WhatsApp banners, ready for merging into a dataframe. It includes technical observations regarding formatting and duplicate entries.","""Generate the CSV file for download.""",data_extraction,,,
2025-11-05,3b4a54218a2c4facf721554b999ec13ca962f0af759c3652e8749243c96985af,event,690bc79c-026c-8332-9ace-87f99ae213f7,1e2cb596-cad7-4b6a-8b19-22a630260968,Data,script,4,CSV|Data Processing|Pandas|Qualitative Analysis,Data|Automation,"This script processes uploaded CSV files, performs qualitative scans, and generates summary tables including top tokens, bigrams, and sender statistics, while also displaying relevant dataframes to the user.","""Implement the CSV loading and analysis code in a data processing pipeline; explore monetization opportunities for CSV analysis tools.""",script,,,
